1.144.83	0.278547
1.177.0.	0.059177
1.4.141.	0.231193
10.129.2	0.675581
10.205.1	0.127308
10.225.1	0.916006
10.76.51	0.603984
100.129.	0.966205
100.209.	0.349371
100.222.	0.383825
100.5.12	0.692606
101.115.	0.610366
101.117.	0.281203
101.172.	0.657432
101.47.1	0.805715
101.85.1	0.097042
102.154.	0.101983
102.62.1	0.193446
103.42.1	0.629020
103.58.2	0.111968
104.211.	0.809745
105.0.11	0.148882
105.140.	0.744445
105.171.	0.996480
105.79.8	0.120845
106.100.	0.734461
106.32.3	0.379775
106.40.2	0.540535
106.43.1	0.982499
106.95.8	0.246386
107.10.1	0.912459
107.144.	0.229242
107.187.	0.213181
107.221.	0.696823
108.158.	0.940862
108.64.1	0.782865
109.163.	0.131662
109.225.	0.948624
109.64.2	0.718056
11.116.5	0.061217
11.158.1	0.169093
11.189.2	0.780838
11.21.46	0.809683
11.211.2	0.030721
11.82.60	0.936750
110.189.	0.004387
110.206.	0.630104
110.26.2	0.855125
111.109.	0.305665
111.175.	0.786700
111.247.	0.716268
111.57.2	0.702757
112.138.	0.653297
112.143.	0.220938
112.69.1	0.929520
112.88.2	0.634942
113.228.	0.975395
114.190.	0.536150
114.223.	0.453996
114.5.29	0.006039
115.138.	0.048041
115.67.6	0.413018
115.9.18	0.052323
116.125.	0.530910
117.135.	0.459367
117.170.	0.409488
118.140.	0.504392
118.152.	0.892586
118.191.	0.595272
118.37.1	0.291447
119.139.	0.969963
119.174.	0.615840
119.199.	0.616643
119.238.	0.238344
12.179.1	0.682715
12.6.26.	0.205596
12.68.32	0.410840
12.84.16	0.379110
120.114.	0.199345
120.153.	0.486494
120.225.	0.332644
120.41.1	0.192518
120.86.2	0.492822
121.180.	0.393447
121.235.	0.570712
121.26.2	0.723636
122.128.	0.562745
122.164.	0.947431
122.177.	0.840295
122.46.1	0.305113
122.49.1	0.110413
123.150.	0.762576
123.52.1	0.384638
124.105.	0.281030
124.106.	0.488217
124.13.1	0.746507
124.194.	0.384337
124.22.1	0.879629
124.23.1	0.276052
124.84.1	0.696113
125.157.	0.209367
125.19.1	0.229171
126.138.	0.937977
126.221.	0.853596
126.246.	0.930536
126.77.2	0.785593
127.178.	0.170434
128.143.	0.809233
128.23.2	0.354305
129.36.7	0.907685
13.252.1	0.514025
130.119.	0.462112
130.232.	0.404694
130.74.1	0.843485
130.95.1	0.903661
131.21.1	0.093937
132.104.	0.215358
132.197.	0.716427
132.64.2	0.833612
132.69.2	0.884270
132.89.4	0.444323
133.125.	0.457440
133.128.	0.862859
133.149.	0.523484
133.249.	0.964388
